slug,title,objective,phase,zone,ageBands,categories,durationMin,playersMin,playersMax,equipment,setup,constraints,progression,coachingPts,tags
1v1_delay_show_outside_gate,1v1 Delay & Show Outside to Gate (12x10m),Coach body shape to delay and guide wide before tackling.,DEFENDING,DEFENSIVE_THIRD,U9-U11,"1v1,delay,show_outside",12,4,8,"8 cones, 1 ball per pair","Set 12x10m with two 1m gates on end line. Attacker starts central, defender 3m off.",Attacker scores by dribbling through a gate; defender scores by forcing out or delaying 5s.,Add recovering teammate after 2s to reward effective delay.,Side-on stance; Slow down under control; Guide to gate; Time tackle late; Communicate 'cover' arrival,"delay,1v1"
1v1_wing_channel_delay,1v1 Wing Channel Delay (15x8m),Teach defenders to delay in wide areas and protect inside lane.,DEFENDING,DEFENSIVE_THIRD,U9-U11,"1v1,wide,delay",10,4,8,"Cones, balls",Create 15x8m channel by touchline. Attacker receives facing goal; defender starts 3m away angle inside.,No tackling in first 2s—prioritize delay & show outside.,Add mini goal for attacker to finish; defender earns double points if shot is forced from wide angle.,Angle to block inside; Small steps; Don’t dive in; Watch hips; Recover if beaten,"wide_defending,delay"
1v1_end_zone_block,1v1 End-Zone Block Near Goal (10x12m),Improve delay and block technique close to goal.,DEFENDING,DEFENSIVE_THIRD,U9-U11,"1v1,delay,last_defender",8,4,8,"Mini goal, cones, balls",Mark 2m end zone in front of mini goal. Attacker must enter end zone to finish.,Defender wins by delaying 5s or forcing attacker back out of the box.,Add a second recovering defender from the top after 2s.,Stay calm; Block shot lane; Show to weaker foot; Delay then poke; Regain shape fast,"last_defender,delay"
2v1_press_cover_angle,2v1 Press with Angled Cover (15x12m),Train first defender to press and second to cover at angle protecting central lane.,DEFENDING,DEFENSIVE_THIRD,U9-U11,"2v1,cover,angle",12,6,10,"Cones, balls","15x12m grid. Attacker starts central. D1 presses, D2 3–4m behind and inside.",Only D1 may tackle until D2 calls 'set'.,Allow D2 to step to double-team when attacker turns back.,Press from outside-in; Cover 3–4m; Stay compact; Delay until cue; Double on back turn,"cover,angle"
2v2_compact_line_hold,2v2 Compact Line Hold (16x12m),"Develop pair compactness, delaying until a mistake appears.",DEFENDING,DEFENSIVE_THIRD,U9-U11,"2v2,compact,delay",12,6,10,"Mini goals, cones, balls",16x12m grid with mini goal. D-pair stays within 8m width while shifting.,No slide tackles; must delay first phase.,Add a time limit for attackers to shoot to reward good delay.,"Travel fast, arrive slow; Stay 5–7m apart; Cover inside; Communicate early; Step together","compact,delay"
2v2_wide_channel_double,2v2 Wide Channel Double-Up (18x8m),Coach delay then double-up in a narrow wide channel.,DEFENDING,DEFENSIVE_THIRD,U9-U11,"2v2,wide,cover",10,6,10,"Cones, balls",18x8m wide channel. Ball starts with wide attacker; inside defender provides cover.,First defender cannot tackle for 2s to emphasize delay.,Allow cross to a mini goal—defenders score by blocking 3 crosses.,Show outside; Cover central cut; Delay then lock; Track runner; Clear lines,"wide_defending,cover"
3v2_compact_triangle_block,3v2 Compact Triangle Block (22x16m),Teach compact triangle defending vs two forwards and a playmaker.,DEFENDING,DEFENSIVE_THIRD,U9-U11,"3v2,compact,cover",15,8,12,"Cones, balls, mini goal",22x16m box; 3 defenders vs 2 attackers + server who can join on pass.,Defenders must recover to triangle before engaging beyond halfway.,Add trailing attacker to stress cover and recovery.,Hold triangle; Delay forward pass; Screen lanes; Cover behind press; Reset shape after win,"compact,triangle"
3v3_narrow_block_goal_protect,3v3 Narrow Block to Protect Goal (20x14m),Rehearse narrow shifting and cover to block central shots.,DEFENDING,DEFENSIVE_THIRD,U9-U11,"3v3,compact,goal_protection",15,6,12,"Mini goal, cones",20x14m zone in front of goal. 3v3 with touch limit for attackers.,Defenders must keep team width ≤ 12m.,Add wide gates to tempt switch then shift together.,Stay narrow; Track inside runs; Delay shots; Cover far side; Step on poor touch,"compact,goal_protection"
3v3_cutback_zone_defend,3v3 Defend Cutback Zone (18x12m),Improve cover positions to block low crosses and cutbacks.,DEFENDING,DEFENSIVE_THIRD,U9-U11,"3v3,cover,cutback",12,6,12,"Cones, balls, two mini goals",Mark 4m cutback zone by end line. Attacking wide player can enter and cut back.,Defenders score by intercepting 3 cutbacks before a goal.,Add weak-side runner to coach far-post cover.,Scan shoulders; Cover central slot; Delay crosser; Block lanes; Clear first time,"cutback,cover"
4v3_mid_block_hold,4v3 Mid-Block Hold & Delay (26x18m),Coordinate a compact line of four to delay and screen through balls.,DEFENDING,DEFENSIVE_THIRD,U9-U11,"4v3,compact,cover",18,8,12,"Half pitch zone, cones, balls",26x18m block in defensive third. 4 defenders vs 3 attackers building centrally.,Back four must keep vertical distance to mids ≤ 8m.,Add a high 9 to test through-ball screening.,Squeeze lines; Show wide; Cover depth; Delay on switches; Communicate marks,"compact,team_shape"
